CustomerID,Recency,Frequency,Monetary,AverageOrderValue,Cluster,Segment
12346.0,326,1,77183.6,77183.6,1,High-Value Loyal Customers
12347.0,2,7,4310.0,615.7142857142857,1,High-Value Loyal Customers
12348.0,75,4,1797.24,449.31,1,High-Value Loyal Customers
12349.0,19,1,1757.55,1757.55,1,High-Value Loyal Customers
12350.0,310,1,334.4,334.4,0,At-Risk / Low-Value Customers
12352.0,36,8,2506.04,313.255,1,High-Value Loyal Customers
12353.0,204,1,89.0,89.0,0,At-Risk / Low-Value Customers
12354.0,232,1,1079.4,1079.4,0,At-Risk / Low-Value Customers
12355.0,214,1,459.4,459.4,0,At-Risk / Low-Value Customers
12356.0,23,3,2811.43,937.1433333333333,1,High-Value Loyal Customers
12357.0,33,1,6207.67,6207.67,1,High-Value Loyal Customers
12358.0,2,2,1168.06,584.03,1,High-Value Loyal Customers
12359.0,58,4,6310.03,1577.5075,1,High-Value Loyal Customers
12360.0,52,3,2662.06,887.3533333333334,1,High-Value Loyal Customers
12361.0,287,1,189.9,189.9,0,At-Risk / Low-Value Customers
12362.0,3,10,5226.23,522.6229999999999,1,High-Value Loyal Customers
12363.0,110,2,552.0,276.0,0,At-Risk / Low-Value Customers
12364.0,8,4,1313.1,328.275,1,High-Value Loyal Customers
12365.0,291,2,641.38,320.69,0,At-Risk / Low-Value Customers
12367.0,4,1,168.9,168.9,0,At-Risk / Low-Value Customers
12370.0,51,4,3541.94,885.485,1,High-Value Loyal Customers
12371.0,45,2,1887.96,943.98,1,High-Value Loyal Customers
12372.0,72,3,1298.04,432.68,1,High-Value Loyal Customers
12373.0,311,1,364.6,364.6,0,At-Risk / Low-Value Customers
12374.0,25,1,742.9300000000001,742.9300000000001,0,At-Risk / Low-Value Customers
12375.0,11,2,457.5,228.75,0,At-Risk / Low-Value Customers
12377.0,315,2,1628.12,814.06,0,At-Risk / Low-Value Customers
12378.0,130,1,4008.62,4008.62,1,High-Value Loyal Customers
12379.0,82,2,852.24,426.12,0,At-Risk / Low-Value Customers
12380.0,22,4,2724.81,681.2025,1,High-Value Loyal Customers
12381.0,5,5,1845.31,369.062,1,High-Value Loyal Customers
12383.0,185,5,1850.56,370.11199999999997,1,High-Value Loyal Customers
12384.0,29,2,585.27,292.635,0,At-Risk / Low-Value Customers
12386.0,338,2,401.9,200.95,0,At-Risk / Low-Value Customers
12388.0,16,6,2780.66,463.4433333333333,1,High-Value Loyal Customers
12390.0,80,1,549.84,549.84,0,At-Risk / Low-Value Customers
12391.0,22,1,439.66,439.66,0,At-Risk / Low-Value Customers
12393.0,72,4,1582.6000000000001,395.65000000000003,1,High-Value Loyal Customers
12394.0,64,2,1272.48,636.24,0,At-Risk / Low-Value Customers
12395.0,19,12,3018.63,251.5525,1,High-Value Loyal Customers
12397.0,36,2,2409.9,1204.95,1,High-Value Loyal Customers
12398.0,46,1,1635.6599999999999,1635.6599999999999,1,High-Value Loyal Customers
12399.0,119,4,1108.65,277.1625,0,At-Risk / Low-Value Customers
12401.0,303,1,84.3,84.3,0,At-Risk / Low-Value Customers
12402.0,323,1,225.6,225.6,0,At-Risk / Low-Value Customers
12403.0,50,1,427.7,427.7,0,At-Risk / Low-Value Customers
12405.0,149,1,1710.39,1710.39,0,At-Risk / Low-Value Customers
12406.0,22,2,3415.3,1707.65,1,High-Value Loyal Customers
12407.0,50,5,1708.1200000000001,341.624,1,High-Value Loyal Customers
12408.0,33,5,2888.55,577.71,1,High-Value Loyal Customers
12409.0,79,3,11072.67,3690.89,1,High-Value Loyal Customers
12410.0,309,2,693.3299999999999,346.66499999999996,0,At-Risk / Low-Value Customers
12412.0,75,3,1226.88,408.96000000000004,0,At-Risk / Low-Value Customers
12413.0,67,3,758.1,252.70000000000002,0,At-Risk / Low-Value Customers
12414.0,217,3,562.41,187.47,0,At-Risk / Low-Value Customers
12415.0,24,21,124914.53,5948.310952380953,1,High-Value Loyal Customers
12417.0,3,9,3649.1,405.4555555555555,1,High-Value Loyal Customers
12418.0,113,1,668.58,668.58,0,At-Risk / Low-Value Customers
12420.0,64,1,600.39,600.39,0,At-Risk / Low-Value Customers
12421.0,16,4,807.04,201.76,1,High-Value Loyal Customers
12422.0,96,3,803.5600000000001,267.85333333333335,0,At-Risk / Low-Value Customers
12423.0,1,8,1859.31,232.41375,1,High-Value Loyal Customers
12424.0,163,2,1760.96,880.48,0,At-Risk / Low-Value Customers
12425.0,78,1,777.2,777.2,0,At-Risk / Low-Value Customers
12426.0,195,1,582.73,582.73,0,At-Risk / Low-Value Customers
12427.0,22,3,825.8,275.26666666666665,1,High-Value Loyal Customers
12428.0,26,9,7956.46,884.0511111111111,1,High-Value Loyal Customers
12429.0,9,4,3750.4,937.6,1,High-Value Loyal Customers
12430.0,43,1,256.4,256.4,0,At-Risk / Low-Value Customers
12431.0,36,15,6419.95,427.99666666666667,1,High-Value Loyal Customers
12432.0,43,5,5059.32,1011.8639999999999,1,High-Value Loyal Customers
12433.0,1,7,13375.87,1910.8385714285716,1,High-Value Loyal Customers
12434.0,85,2,806.14,403.07,0,At-Risk / Low-Value Customers
12435.0,80,2,7829.89,3914.945,1,High-Value Loyal Customers
12436.0,100,1,509.01,509.01,0,At-Risk / Low-Value Customers
12437.0,2,18,4951.41,275.0783333333333,1,High-Value Loyal Customers
12438.0,14,2,2906.85,1453.425,1,High-Value Loyal Customers
12441.0,367,1,173.55,173.55,0,At-Risk / Low-Value Customers
12442.0,3,1,172.06,172.06,0,At-Risk / Low-Value Customers
12444.0,21,5,5005.46,1001.092,1,High-Value Loyal Customers
12445.0,22,1,133.4,133.4,0,At-Risk / Low-Value Customers
12446.0,58,1,1002.3100000000001,1002.3100000000001,0,At-Risk / Low-Value Customers
12447.0,243,1,476.49,476.49,0,At-Risk / Low-Value Customers
12448.0,44,1,449.45,449.45,0,At-Risk / Low-Value Customers
12449.0,22,4,4067.29,1016.8225,1,High-Value Loyal Customers
12450.0,156,2,197.88,98.94,0,At-Risk / Low-Value Customers
12451.0,11,5,9035.52,1807.104,1,High-Value Loyal Customers
12452.0,17,2,430.57,215.285,0,At-Risk / Low-Value Customers
12453.0,134,1,707.09,707.09,0,At-Risk / Low-Value Customers
12454.0,56,1,3528.34,3528.34,1,High-Value Loyal Customers
12455.0,73,6,2466.86,411.1433333333334,1,High-Value Loyal Customers
12456.0,44,3,3181.04,1060.3466666666666,1,High-Value Loyal Customers
12457.0,66,7,2363.23,337.6042857142857,1,High-Value Loyal Customers
12458.0,71,2,947.4,473.7,0,At-Risk / Low-Value Customers
12461.0,94,2,826.88,413.44,0,At-Risk / Low-Value Customers
12462.0,19,2,1189.59,594.795,1,High-Value Loyal Customers
12463.0,53,4,1344.78,336.195,1,High-Value Loyal Customers
12464.0,10,8,1212.05,151.50625,1,High-Value Loyal Customers
12465.0,17,2,742.1899999999999,371.09499999999997,0,At-Risk / Low-Value Customers
12468.0,188,2,729.5400000000001,364.77000000000004,0,At-Risk / Low-Value Customers
12471.0,2,30,19788.65,659.6216666666667,1,High-Value Loyal Customers
12472.0,32,7,6572.11,938.8728571428571,1,High-Value Loyal Customers
12473.0,29,5,3928.0499999999997,785.6099999999999,1,High-Value Loyal Customers
12474.0,17,18,7324.09,406.8938888888889,1,High-Value Loyal Customers
12475.0,54,1,723.38,723.38,0,At-Risk / Low-Value Customers
12476.0,16,11,6816.42,619.6745454545454,1,High-Value Loyal Customers
12477.0,23,6,13219.74,2203.29,1,High-Value Loyal Customers
12478.0,4,1,680.99,680.99,1,High-Value Loyal Customers
12479.0,11,1,527.2,527.2,0,At-Risk / Low-Value Customers
12480.0,28,4,3281.63,820.4075,1,High-Value Loyal Customers
12481.0,23,10,5579.82,557.982,1,High-Value Loyal Customers
12483.0,17,8,2484.98,310.6225,1,High-Value Loyal Customers
12484.0,33,6,4527.32,754.5533333333333,1,High-Value Loyal Customers
12488.0,10,3,1298.66,432.8866666666667,1,High-Value Loyal Customers
12489.0,336,1,334.93,334.93,0,At-Risk / Low-Value Customers
12490.0,5,10,5417.93,541.793,1,High-Value Loyal Customers
12491.0,39,1,460.40000000000003,460.40000000000003,0,At-Risk / Low-Value Customers
12492.0,63,2,263.21000000000004,131.60500000000002,0,At-Risk / Low-Value Customers
12493.0,166,2,433.74,216.87,0,At-Risk / Low-Value Customers
12494.0,16,7,1246.1000000000001,178.01428571428573,1,High-Value Loyal Customers
12497.0,82,1,1043.1,1043.1,0,At-Risk / Low-Value Customers
12498.0,21,3,403.70000000000005,134.5666666666667,0,At-Risk / Low-Value Customers
12500.0,23,11,4257.82,387.07454545454544,1,High-Value Loyal Customers
12501.0,337,1,2169.39,2169.39,0,At-Risk / Low-Value Customers
12502.0,96,5,3723.87,744.774,1,High-Value Loyal Customers
12504.0,18,2,482.04999999999995,241.02499999999998,0,At-Risk / Low-Value Customers
12506.0,233,1,73.5,73.5,0,At-Risk / Low-Value Customers
12507.0,134,3,1304.81,434.93666666666667,0,At-Risk / Low-Value Customers
12508.0,26,2,397.88,198.94,0,At-Risk / Low-Value Customers
12509.0,284,1,176.5,176.5,0,At-Risk / Low-Value Customers
12510.0,143,2,982.5699999999999,491.28499999999997,0,At-Risk / Low-Value Customers
12512.0,66,2,132.18,66.09,0,At-Risk / Low-Value Customers
12513.0,113,1,612.29,612.29,0,At-Risk / Low-Value Customers
12514.0,267,1,1017.68,1017.68,0,At-Risk / Low-Value Customers
12515.0,353,1,383.7,383.7,0,At-Risk / Low-Value Customers
12516.0,78,2,1312.06,656.03,0,At-Risk / Low-Value Customers
12517.0,28,5,2481.6,496.32,1,High-Value Loyal Customers
12518.0,1,5,2056.89,411.378,1,High-Value Loyal Customers
12519.0,64,1,330.84,330.84,0,At-Risk / Low-Value Customers
12520.0,79,5,2634.26,526.8520000000001,1,High-Value Loyal Customers
12521.0,143,1,599.68,599.68,0,At-Risk / Low-Value Customers
12522.0,39,2,192.72,96.36,0,At-Risk / Low-Value Customers
12523.0,19,11,1789.77,162.70636363636365,1,High-Value Loyal Customers
12524.0,9,8,4485.72,560.715,1,High-Value Loyal Customers
12526.0,1,3,1316.66,438.8866666666667,1,High-Value Loyal Customers
12527.0,82,3,348.71000000000004,116.23666666666668,0,At-Risk / Low-Value Customers
12528.0,9,6,1933.48,322.24666666666667,1,High-Value Loyal Customers
12530.0,60,4,1662.28,415.57,1,High-Value Loyal Customers
12531.0,15,1,125.22,125.22,0,At-Risk / Low-Value Customers
12532.0,30,1,349.83000000000004,349.83000000000004,0,At-Risk / Low-Value Customers
12534.0,131,1,1089.18,1089.18,0,At-Risk / Low-Value Customers
12535.0,92,2,716.35,358.175,0,At-Risk / Low-Value Customers
12536.0,43,3,12601.830000000002,4200.610000000001,1,High-Value Loyal Customers
12538.0,29,1,363.95,363.95,0,At-Risk / Low-Value Customers
12539.0,22,4,5568.35,1392.0875,1,High-Value Loyal Customers
12540.0,20,17,13400.24,788.2494117647059,1,High-Value Loyal Customers
12541.0,30,3,981.18,327.06,1,High-Value Loyal Customers
12544.0,36,1,372.7,372.7,0,At-Risk / Low-Value Customers
12545.0,75,2,1000.39,500.195,0,At-Risk / Low-Value Customers
12546.0,47,2,1161.5,580.75,1,High-Value Loyal Customers
12547.0,198,2,207.79999999999998,103.89999999999999,0,At-Risk / Low-Value Customers
12548.0,166,1,95.19999999999999,95.19999999999999,0,At-Risk / Low-Value Customers
12550.0,79,1,964.83,964.83,0,At-Risk / Low-Value Customers
12551.0,358,1,168.0,168.0,0,At-Risk / Low-Value Customers
12552.0,39,2,437.82,218.91,0,At-Risk / Low-Value Customers
12553.0,8,10,3692.28,369.228,1,High-Value Loyal Customers
12556.0,50,2,599.56,299.78,0,At-Risk / Low-Value Customers
12557.0,16,5,11990.960000000001,2398.192,1,High-Value Loyal Customers
12558.0,8,1,269.96,269.96,0,At-Risk / Low-Value Customers
12559.0,311,2,561.71,280.855,0,At-Risk / Low-Value Customers
12560.0,5,3,2134.01,711.3366666666667,1,High-Value Loyal Customers
12561.0,303,1,238.85,238.85,0,At-Risk / Low-Value Customers
12562.0,8,7,3781.7400000000002,540.2485714285715,1,High-Value Loyal Customers
12564.0,261,1,456.9,456.9,0,At-Risk / Low-Value Customers
12565.0,289,1,145.92,145.92,0,At-Risk / Low-Value Customers
12566.0,86,1,351.65,351.65,0,At-Risk / Low-Value Customers
12567.0,23,10,9401.28,940.128,1,High-Value Loyal Customers
12569.0,2,32,4124.69,128.8965625,1,High-Value Loyal Customers
12571.0,40,2,519.61,259.805,0,At-Risk / Low-Value Customers
12572.0,9,2,1020.42,510.21,1,High-Value Loyal Customers
12573.0,227,1,160.54000000000002,160.54000000000002,0,At-Risk / Low-Value Customers
12574.0,316,1,218.45,218.45,0,At-Risk / Low-Value Customers
12576.0,36,5,1315.83,263.166,1,High-Value Loyal Customers
12577.0,35,3,626.6,208.86666666666667,0,At-Risk / Low-Value Customers
12578.0,21,2,2794.51,1397.255,1,High-Value Loyal Customers
12579.0,78,1,440.42,440.42,0,At-Risk / Low-Value Customers
12580.0,247,1,415.7,415.7,0,At-Risk / Low-Value Customers
12581.0,40,1,197.71,197.71,0,At-Risk / Low-Value Customers
12582.0,239,2,511.36,255.68,0,At-Risk / Low-Value Customers
12583.0,3,15,7281.38,485.42533333333336,1,High-Value Loyal Customers
12584.0,4,9,2338.15,259.7944444444445,1,High-Value Loyal Customers
12585.0,234,2,2040.1,1020.05,0,At-Risk / Low-Value Customers
12586.0,17,1,196.94000000000003,196.94000000000003,0,At-Risk / Low-Value Customers
12587.0,8,1,144.0,144.0,0,At-Risk / Low-Value Customers
12588.0,39,1,214.89999999999998,214.89999999999998,0,At-Risk / Low-Value Customers
12589.0,29,2,646.68,323.34,0,At-Risk / Low-Value Customers
12590.0,211,2,9864.26,4932.13,1,High-Value Loyal Customers
12591.0,317,1,452.84999999999997,452.84999999999997,0,At-Risk / Low-Value Customers
12592.0,92,2,437.6,218.8,0,At-Risk / Low-Value Customers
12593.0,109,3,418.09999999999997,139.36666666666665,0,At-Risk / Low-Value Customers
12594.0,38,10,3338.2200000000003,333.822,1,High-Value Loyal Customers
12596.0,51,2,618.27,309.135,0,At-Risk / Low-Value Customers
12597.0,19,4,3811.22,952.805,1,High-Value Loyal Customers
12598.0,10,8,3023.08,377.885,1,High-Value Loyal Customers
12599.0,29,7,1032.58,147.51142857142855,1,High-Value Loyal Customers
12600.0,29,10,2599.04,259.904,1,High-Value Loyal Customers
12601.0,190,5,577.0600000000001,115.412,0,At-Risk / Low-Value Customers
12602.0,59,1,153.12,153.12,0,At-Risk / Low-Value Customers
12603.0,22,1,739.1999999999999,739.1999999999999,0,At-Risk / Low-Value Customers
12604.0,79,2,254.18,127.09,0,At-Risk / Low-Value Customers
12607.0,60,1,1579.51,1579.51,1,High-Value Loyal Customers
12609.0,78,3,1126.85,375.6166666666666,0,At-Risk / Low-Value Customers
12610.0,23,5,2099.54,419.908,1,High-Value Loyal Customers
12611.0,52,1,1193.32,1193.32,0,At-Risk / Low-Value Customers
12612.0,74,1,704.0400000000001,704.0400000000001,0,At-Risk / Low-Value Customers
12613.0,57,5,3344.38,668.876,1,High-Value Loyal Customers
12614.0,278,1,315.6,315.6,0,At-Risk / Low-Value Customers
12615.0,2,4,2291.19,572.7975,1,High-Value Loyal Customers
12616.0,95,2,713.3,356.65,0,At-Risk / Low-Value Customers
12617.0,29,1,352.98,352.98,0,At-Risk / Low-Value Customers
12618.0,22,1,177.31,177.31,0,At-Risk / Low-Value Customers
